Disease,Hindi Name,Marathi Name,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Herbal/Alternative Remedies,Ayurvedic Herbs,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Patient Recommendations,Scientific Research
Inflammatory Bowel Disease (IBD),सूजनात्मक आंत्र रोग,इन्फ्लेमेटरी बाउल डिसीज,"Abdominal pain, diarrhea, weight loss, fatigue","Blood Tests, Stool Tests, Colonoscopy",Moderate to Severe,2-3 months,"Autoimmune, Genetic","Immunosuppressants, Biologics","Genetics, Immune System Issues","Stress, Infection, High-fat diet",Irregular sleep,High stress,Moderate,Family history of IBD,"Low-fat, High-fiber",None,All seasons,20-50 years,Both genders,Sedentary lifestyle,Avoids stress,None specific,"Turmeric, Guduchi","Aloe vera (fresh), Water (200ml)","Pitta, Kapha",Pitta-Kapha,"Avoid spicy, oily, and acidic foods; increase fiber intake.","Yoga for Digestion, Stress Management","Anti-inflammatory Medications, Surgery","Healthy Diet, Regular Monitoring",Can be Managed with Medication,"Colon Cancer, Bowel Obstructions","Healthy Diet, Stress Management",Research on IBD Treatment
Influenza,इन्फ्लूएंजा,फ्लू,"Fever, sore throat, body aches, fatigue","Blood Tests, Throat Culture",Mild to Moderate,1-2 weeks,Viral infection,Antiviral drugs,"Seasonal, Close Contact, Weak Immune System",Close contact with infected people,Irregular sleep,High stress,Low,No family history,"Balanced, Hydrating foods",None,Winter season,All ages,Both genders,Exposure to crowds,Avoids exposure to sick individuals,"Elderberry, Echinacea","Amla, Guduchi","Ginger (2g), Honey (1 tsp), Warm water (200ml)","Vata, Pitta",Vata-Pitta,"Rest, hydrate with herbal teas, and avoid cold foods.","Rest, Hydration","Antiviral Medications, Vaccination","Vaccination, Hygiene Practices",Usually Resolves with Treatment,"Pneumonia, Respiratory Failure","Good Hygiene, Hydration",Research on Influenza Treatment
Insomnia,अनिद्रा,झोप न लागणे,"Difficulty falling asleep, restless mind","Sleep Study, Physical Exam",Moderate to Severe,1-3 weeks,"Stress, Anxiety, Depression","Sleep aids, Melatonin","Stress, Anxiety, Medical Conditions","Noise, Light pollution, Stress",Poor sleep quality,High stress,Low,Family history of insomnia,"Caffeine-free, Low-sugar",None,"Winter, Summer",All ages,Both genders,Stressful lifestyle,Avoids loud environments,"Lavender, Chamomile","Ashwagandha, Jatamansi","Brahmi (2g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid caffeine; establish a relaxing bedtime routine and practice yoga nidra.,"Relaxation, Breathing Exercises","Sleep Aids, Cognitive Behavioral Therapy","Healthy Sleep Hygiene, Stress Management",Usually Resolves with Treatment,"Fatigue, Cognitive Issues","Relaxation, Regular Sleep Schedule",Research on Insomnia Treatment
Irritable Bowel Syndrome (IBS),अतिसार,अतिसार,"Abdominal cramps, bloating, diarrhea or constipation","Blood Tests, Stool Tests, Colonoscopy",Moderate to Severe,Varies,"Stress, Diet, Infections","Fiber supplements, Antispasmodics","Diet, Stress, Gut Infections","Stress, High-fat diet, Spicy foods",Irregular sleep,High stress,Low,Family history of IBS,"High-fiber, Avoids spicy foods","Gluten, Dairy",All seasons,20-60 years,Both genders,Stressful job environments,Avoids heavy meals,"Peppermint, Ginger","Triphala, Ginger","Triphala (1 tsp), Warm water (200ml)",Vata,Vata-Prakriti,Avoid gas-producing foods; maintain regular meal timings and hydration.,"Yoga for Digestion, Stress Management","Fiber, Antispasmodics, Probiotics","Healthy Diet, Stress Management",Can be Managed with Medication,"Abdominal Pain, Diarrhea, Constipation","Stress Management, Healthy Diet",Research on IBS Treatment
Joint Pain,जोड़ दर्द,सांधेदुखी,"Swelling, stiffness, pain in joints","Physical Exam, X-ray, MRI",Moderate to Severe,Varies,"Arthritis, Injury, Aging","NSAIDs, Pain relievers","Injury, Arthritis, Overuse","Weather, Previous injuries",Poor sleep quality,Moderate stress,Low,Family history of arthritis,"Anti-inflammatory, Low-sodium",None,All seasons,40-70 years,Both genders,Sedentary lifestyle,Avoids heavy lifting,"Turmeric, Ginger, Boswellia","Ashwagandha, Boswellia","Turmeric (1/2 tsp), Milk (200ml)","Vata, Kapha",Vata-Kapha,"Avoid cold foods; practice light exercises and consume warm, cooked meals.","Stretching, Joint Mobility Exercises","Pain Relief Medications, Physical Therapy","Regular Exercise, Weight Management",Can be Managed with Medication,"Joint Damage, Reduced Mobility","Regular Exercise, Healthy Diet",Research on Joint Pain Management
Kala-azar,कालाझार,कालाझार,"Fever, weight loss, fatigue, enlarged spleen or liver","Blood Tests, Biopsy, Imaging",Moderate to Severe,1-3 months,"Malaria, HIV/AIDS",Antileishmanial drugs,"Poor Sanitation, Infected Sandflies","Tropical, Poor sanitation",Irregular sleep,High stress,Low,No family history,"High-protein, Hydrating foods",None,Tropical regions,20-60 years,Both genders,Exposure to insects,Avoids unsanitary conditions,None specific,None specific,"Neem leaves (5-6), Water (as needed)",Pitta,Pitta-Prakriti,"Avoid exposure to sandflies; consume light, nutritious food.",None specific,Antileishmanial Medications,"Avoid Sandfly Exposure, Hygiene",Can be Managed with Medication,"Organ Damage, Death","Avoid Sandfly Bites, Clean Environment",Research on Kala-azar Treatment
Kawasaki Disease,कावासाकी रोग,कावासाकी रोग,"Fever, skin rash, swollen lymph nodes, red eyes","Blood Tests, Echocardiogram, Imaging",Severe,2-3 months,"Viral infections, Genetics","Aspirin, Immunoglobulin","Genetics, Viral Infections","Infections, Environmental factors",Poor sleep quality,High stress,Low,Family history of Kawasaki disease,"Balanced, Anti-inflammatory",None,"Winter, Spring",1-10 years,Both genders,High exposure to infections,Avoids cold environments,None specific,None specific,"Ashwagandha (5g), Warm water (200ml)","Pitta, Vata",Pitta-Vata,Avoid fatty foods; engage in gentle exercises and adequate rest.,None specific,"Intravenous Immunoglobulin, Aspirin","Early Diagnosis, Immediate Treatment",Can be Managed with Treatment,"Heart Damage, Coronary Artery Aneurysms","Early Treatment, Regular Monitoring",Research on Kawasaki Disease Treatment
Kearns-Sayre Syndrome,कर्न्स-सेयर सिंड्रोम,कर्न्स-सेयर सिंड्रोम,"Muscle weakness, heart problems, eye issues","Genetic Testing, Muscle Biopsy",Severe,Lifelong,"Genetic, Mitochondrial disorders",Symptom-specific medications,"Genetic Mutations, Family History","Genetic, Environmental triggers",Irregular sleep,High stress,Low,Family history of mitochondrial diseases,"High-protein, Low-sugar",None,All seasons,Childhood to adult,Both genders,Sedentary lifestyle,Avoids strenuous activities,None specific,None specific,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,"Avoid stress; maintain a healthy, balanced diet rich in antioxidants.",None specific,"Supportive Care, Medications","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Vision Loss, Heart Issues","Regular Monitoring, Supportive Care",Research on Kearns-Sayre Syndrome Treatment
Kidney Cancer,किडनी कैंसर,किडनी कॅन्सर,"Blood in urine, pain in back or abdomen, fatigue","Imaging, Biopsy, Blood Tests",Severe,6-12 months,"Smoking, High blood pressure","Surgery, Chemotherapy","Smoking, Obesity, Family History","Smoking, Chemical exposure",Poor sleep quality,Moderate stress,Low,Family history of kidney disease,"Low-salt, High-antioxidant",None,All seasons,50-70 years,Both genders,Sedentary lifestyle,Avoids toxins,None specific,"Amla, Guduchi","Gokshura (3g), Warm water (200ml)","Kapha, Vata",Kapha-Vata,Avoid excess salt and processed foods; maintain hydration.,None specific,"Surgery, Chemotherapy, Immunotherapy","Healthy Lifestyle, Early Diagnosis",Can be Managed with Treatment,"Metastasis, Organ Failure","Early Diagnosis, Regular Monitoring",Research on Kidney Cancer Treatment
Kidney Stones,गुर्दे की पथरी,मूत्रपिंडाचे खडे,"Severe pain in the back or side, blood in urine","Urine Tests, Imaging, Blood Tests",Moderate to Severe,1-3 months,"Dehydration, High-sodium diet","Pain relievers, Diuretics","Dehydration, High Calcium Intake","Dehydration, High-sodium diet",Irregular sleep,Moderate stress,Low,Family history of kidney stones,"High-fluid, Low-oxalate",None,All seasons,20-50 years,Both genders,Sedentary lifestyle,Avoids dehydration,None specific,None specific,"Pomegranate (fresh), Water (200ml)","Vata, Kapha",Vata-Kapha,Drink plenty of water; avoid high-oxalate foods like spinach.,None specific,"Pain Relief, Surgery, Lithotripsy","Drink Plenty of Water, Healthy Diet",Can be Managed with Treatment,"Urinary Tract Infection, Kidney Damage","Stay Hydrated, Avoid Trigger Foods",Research on Kidney Stones Management
Kleine-Levin Syndrome,क्लेइन-लेविन सिंड्रोम,क्लेइन-लेविन सिंड्रोम,"Recurrent episodes of excessive sleep, altered behavior","Physical Exam, Sleep Study",Severe,Varies,"Sleep disorders, Genetic","Stimulants, Sleep regulation","Genetics, Hormonal Imbalances","Stress, Hormonal imbalances",Extreme fatigue,High stress,Low,Family history of sleep disorders,"High-protein, Low-carb",None,All seasons,Teenagers to 30s,Both genders,Sleep disturbances,Avoids stress,None specific,None specific,"Brahmi (2g), Ashwagandha (5g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid excessive screen time; establish regular sleep patterns.,None specific,"Medications, Sleep Hygiene","Regular Sleep Patterns, Stress Management",Can be Managed with Medication,"Cognitive Dysfunction, Fatigue","Healthy Sleep, Stress Management",Research on Kleine-Levin Syndrome
Klinefelter Syndrome,क्लाइनफेल्टर सिंड्रोम,क्लाइनफेल्टर सिंड्रोम,"Infertility, enlarged breasts, low testosterone","Blood Tests, Genetic Testing",Moderate to Severe,Lifelong,"Genetic, Hormonal imbalance","Testosterone therapy, Surgery","Genetics, Family History","Genetic, Hormonal imbalance",Irregular sleep,Moderate stress,Low,Family history of Klinefelter syndrome,"Balanced, Low-fat",None,All seasons,Adolescence to adulthood,Male,Sedentary lifestyle,Avoids stress,None specific,"Ashwagandha, Shatavari","Ashwagandha (5g), Gokshura (3g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Maintain a balanced diet; practice physical activity regularly.,None specific,"Testosterone Replacement, Speech Therapy","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Infertility, Cognitive Issues","Early Intervention, Regular Monitoring",Research on Klinefelter Syndrome
Krabbe Disease,क्राबे रोग,क्राबे रोग,"Muscle weakness, loss of motor skills, irritability","Genetic Testing, Neurological Exam",Severe,Lifelong,"Genetic, Mitochondrial disorders",No specific treatment,"Genetic Mutations, Family History","Genetic, Environmental triggers",Irregular sleep,High stress,Low,Family history of Krabbe disease,"High-protein, Low-sugar",None,All seasons,Infants,Both genders,Limited physical activity,Avoids physical exertion,None specific,None specific,"Brahmi (2g), Olive oil (5ml)","Vata, Pitta",Vata-Prakriti,Engage in gentle exercises; focus on a nutrient-dense diet.,None specific,"Stem Cell Transplant, Supportive Care","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Neurological Decline, Paralysis","Early Diagnosis, Supportive Care",Research on Krabbe Disease Treatment
Kyasanur Forest Disease,क्यासानुर वन रोग,क्यासानुर वन रोग,"Fever, headache, body ache, bleeding","Blood Tests, Imaging, PCR Tests",Severe,1-2 months,"Tick exposure, Rural areas","Antiviral, Supportive care","Animal Bites, Poor Hygiene","Rural areas, Forest exposure",Irregular sleep,High stress,Low,Family history of Kyasanur disease,"High-fluid, High-antioxidant",None,Rainy season,20-60 years,Both genders,"Outdoor, Agricultural work",Avoids tick exposure,None specific,None specific,"Neem leaves (5-6), Water (as needed)",Kapha,Kapha-Prakriti,Avoid contact with ticks; use neem-based repellent.,None specific,"Supportive Care, Antiviral Medications","Avoid Animal Contact, Vaccination",Can be Managed with Treatment,"Organ Damage, Death","Avoid Animal Exposure, Vaccination",Research on Kyasanur Forest Disease
Langerhans Cell Histiocytosis,लैंगेरहांस कोशिका हिस्टियोसाइटोसिस,लैंगेरहांस कोशिका हिस्टियोसाइटोसिस,"Skin rashes, bone pain, swollen lymph nodes","Biopsy, Blood Tests, Imaging",Severe,1-3 months,"Genetic, Immune system disorders","Chemotherapy, Steroids","Genetic Mutations, Immune System Dysfunction","Genetic, Environmental triggers",Irregular sleep,High stress,Low,Family history of Langerhans cell histiocytosis,"Balanced, Low-fat",None,All seasons,Childhood,Both genders,Sedentary lifestyle,Avoids infections,None specific,None specific,"Guduchi (3g), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid processed foods; engage in light exercise.,None specific,"Chemotherapy, Immunotherapy, Surgery","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Organ Damage, Cancer","Regular Monitoring, Early Diagnosis",Research on Langerhans Cell Histiocytosis
Larsen Syndrome,लार्सन सिंड्रोम,लार्सन सिंड्रोम,"Joint dislocations, short stature, skeletal deformities","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Connective tissue disorders",Symptom-specific treatment,"Genetic Mutations, Family History","Genetic, Environmental factors",Irregular sleep,Moderate stress,Low,Family history of Larsen syndrome,"High-protein, Low-sugar",None,All seasons,Childhood to adulthood,Both genders,Limited physical activity,Avoids strenuous activities,None specific,None specific,"Ashwagandha (5g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid excessive physical strain; consume calcium-rich foods.,"Physical Therapy, Joint Mobility Exercises","Surgical Intervention, Physical Therapy","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Joint Deformities, Mobility Issues","Early Intervention, Regular Monitoring",Research on Larsen Syndrome Treatment
Lassa Fever,लासा बुखार,लासा बुखार,"Fever, bleeding, cough, muscle pain","Blood Tests, PCR Tests",Severe,2-4 weeks,"Viral infection, Endemic areas","Antiviral drugs, Supportive care","Animal Exposure, Poor Hygiene","Tropical areas, Rodent exposure",Irregular sleep,High stress,Low,Family history of Lassa fever,"High-fluid, Hydrating foods",None,Rainy season,20-60 years,Both genders,"Rural, Unsanitary conditions",Avoids rodent exposure,None specific,None specific,"Guduchi (3g), Tulsi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,"Avoid contact with rodents; consume light, nutritious meals.",None specific,"Supportive Care, Antiviral Medications","Avoid Animal Contact, Hygiene Practices",Can be Managed with Medication,"Organ Failure, Death","Avoid Animal Exposure, Regular Hygiene",Research on Lassa Fever Treatment
Leigh Syndrome,ली सिण्ड्रोम,ली सिण्ड्रोम,Progressive loss of mental and movement abilities,"Genetic Testing, MRI, Biopsy",Severe,Lifelong,"Genetic, Mitochondrial disorders",Symptom-specific treatment,"Genetic Mutations, Family History","Genetic, Environmental factors",Irregular sleep,High stress,Low,Family history of Leigh syndrome,"High-protein, Low-sugar",None,All seasons,Infants to adulthood,Both genders,Sedentary lifestyle,Avoids physical exertion,None specific,None specific,"Ashwagandha (5g), Brahmi (2g), Warm water (200ml)",Vata,Vata-Prakriti,Focus on brain-boosting foods; engage in gentle cognitive exercises.,None specific,"Supportive Care, Symptomatic Treatment","Genetic Counseling, Early Diagnosis",Can be Managed with Treatment,"Neurological Decline, Death","Early Diagnosis, Supportive Care",Research on Leigh Syndrome Treatment
